WeekEnding,InitialClaims,ChangefromPrior Week,4-WeekAverage,InsuredUnemployment,ChangefromPriorWeek,4-Week Average,IUR
23-Mar-19,215,-4,219.5,"1,719",-13,"1,728.75",1.2
30-Mar-19,211,-4,217.25,"1,705",-14,"1,722.50",1.2
6-Apr-19,203,-8,212,"1,667",-38,"1,705.75",1.2
13-Apr-19,203,0,208,"1,659",-8,"1,687.50",1.2
20-Apr-19,226,23,210.75,"1,682",23,"1,678.25",1.2
27-Apr-19,230,4,215.5,"1,684",2,"1,673.00",1.2
4-May-19,225,-5,221,"1,678",-6,"1,675.75",1.2
11-May-19,217,-8,224.5,"1,683",5,"1,681.75",1.2
18-May-19,213,-4,221.25,"1,675",-8,"1,680.00",1.2
25-May-19,218,5,218.25,"1,695",20,"1,682.75",1.2
1-Jun-19,220,2,217,"1,700",5,"1,688.25",1.2
8-Jun-19,220,0,217.75,"1,677",-23,"1,686.75",1.2
15-Jun-19,219,-1,219.25,"1,692",15,"1,691.00",1.2
22-Jun-19,224,5,220.75,"1,699",7,"1,692.00",1.2
29-Jun-19,222,-2,221.25,"1,717",18,"1,696.25",1.2
6-Jul-19,211,-11,219,"1,694",-23,"1,700.50",1.2
13-Jul-19,217,6,218.5,"1,682",-12,"1,698.00",1.2
20-Jul-19,211,-6,215.25,"1,699",17,"1,698.00",1.2
27-Jul-19,216,5,213.75,"1,692",-7,"1,691.75",1.2
3-Aug-19,214,-2,214.5,"1,719",27,"1,698.00",1.2
10-Aug-19,218,4,214.75,"1,687",-32,"1,699.25",1.2
17-Aug-19,215,-3,215.75,"1,699",12,"1,699.25",1.2
24-Aug-19,215,0,215.5,"1,683",-16,"1,697.00",1.2
31-Aug-19,219,4,216.75,"1,683",0,"1,688.00",1.2
7-Sep-19,208,-11,214.25,"1,675",-8,"1,685.00",1.2
14-Sep-19,211,3,213.25,"1,672",-3,"1,678.25",1.2
21-Sep-19,215,4,213.25,"1,667",-5,"1,674.25",1.2
28-Sep-19,218,3,213,"1,698",31,"1,678.00",1.2
5-Oct-19,212,-6,214,"1,689",-9,"1,681.50",1.2
12-Oct-19,218,6,215.75,"1,691",2,"1,686.25",1.2
19-Oct-19,213,-5,215.25,"1,700",9,"1,694.50",1.2
26-Oct-19,217,4,215,"1,695",-5,"1,693.75",1.2
2-Nov-19,212,-5,215,"1,702",7,"1,697.00",1.2
9-Nov-19,222,10,216,"1,697",-5,"1,698.50",1.2
16-Nov-19,223,1,218.5,"1,665",-32,"1,689.75",1.2
23-Nov-19,211,-12,217,"1,697",32,"1,690.25",1.2
30-Nov-19,206,-5,215.5,"1,700",3,"1,689.75",1.2
7-Dec-19,237,31,219.25,"1,725",25,"1,696.75",1.2
14-Dec-19,229,-8,220.75,"1,716",-9,"1,709.50",1.2
21-Dec-19,218,-11,222.5,"1,728",12,"1,717.25",1.2
28-Dec-19,220,2,226,"1,775",47,"1,736.00",1.2
4-Jan-20,212,-8,219.75,"1,759",-16,"1,744.50",1.2
11-Jan-20,207,-5,214.25,"1,735",-24,"1,749.25",1.2
18-Jan-20,220,13,214.75,"1,704",-31,"1,743.25",1.2
25-Jan-20,212,-8,212.75,"1,753",49,"1,737.75",1.2
1-Feb-20,201,-11,210,"1,678",-75,"1,717.50",1.2
8-Feb-20,204,3,209.25,"1,729",51,"1,716.00",1.2
15-Feb-20,215,11,208,"1,693",-36,"1,713.25",1.2
22-Feb-20,220,5,210,"1,720",27,"1,705.00",1.2
29-Feb-20,217,-3,214,"1,699",-21,"1,710.25",1.2
7-Mar-20,211,-6,215.75,"1,702",3,"1,703.50",1.2
14-Mar-20,282,71,232.5,"1,784",82,"1,726.25",1.2
21-Mar-20,"3,307","3,025","1,004.25","3,029","1,245","2,053.50",2.1
28-Mar-20,"6,648","3,341","2,612.00",,,,
