STATE NAME,STATE,LAST WEEK,YEAR AGO,UCFE,UCX
Alabama,10892,9073,8672,13,4
Alaska,7847,6727,6997,2,1
Arizona,29348,25504,25946,10,1
Arkansas,9275,7893,7012,2,3
California,186333,128727,146501,134,83
Colorado,19774,17453,18224,16,14
Connecticut,25100,21660,22592,13,2
Delaware,10776,10304,10316,5,9
District of Columbia,14462,13249,14074,67,0
Florida,74313,67850,68960,40,72
Georgia,12140,6695,7958,10,9
Hawaii,8815,7226,7760,5,1
Idaho,13586,12555,12482,11,4
Illinois,114114,103244,106181,12,4
Indiana,59755,57159,57686,11,20
Iowa,40952,38723,38680,16,7
Kansas,23563,21808,22292,1,2
Kentucky,49023,46238,47066,0,0
Louisiana,72438,70183,70819,23,13
Maine,21459,20825,20898,0,2
Maryland,42981,39117,40058,17,14
Massachusetts,148452,141003,144151,39,49
Michigan,128006,122668,123119,65,44
Minnesota,115773,111763,112460,28,30
Mississippi,5519,4372,4589,3,1
Missouri,42246,38230,38689,2,3
Montana,15349,14532,14620,28,3
Nebraska,15700,14905,14970,11,4
Nevada,92298,85942,90183,7,4
New Hampshire,29379,28737,28863,4,4
New Jersey,115815,106348,108330,11,7
New Mexico,18105,17236,17268,2,0
New York,79999,65727,67315,22,9
North Carolina,94083,90550,91287,37,47
North Dakota,5662,5247,5451,9,3
Ohio,196309,189263,190328,17,82
Oklahoma,21926,20090,20354,19,9
Oregon,30054,25785,26199,33,6
Pennsylvania,377451,362012,365554,317,48
Puerto Rico,20148,18976,19146,1,4
Rhode Island,35847,34739,35089,0,1
South Carolina,31826,29733,30093,7,9
South Dakota,1761,1571,1590,4,0
Tennessee,38077,35375,35710,35,22
Texas,155426,139250,141044,85,139
Utah,19690,18385,18817,23,2
Vermont,3784,3125,3285,1,2
Virgin Islands,123,79,99,0,0
Virginia,46277,43571,44136,10,14
Washington,129909,115669,124504,32,75
West Virginia,3536,2671,2796,0,2
Wisconsin,51031,45841,45615,10,9
Wyoming,3653,3136,3309,12,0
